"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22547","Create Scheduled Visit","chromium","2026-09-18","passed","2026-09-18","Calendar Tests","03_CalendarTests.spec.js","",""
"","156352","Navigate to Forms, enable start with previous values for Completed form for POC, create and submit form from Timeline, then verify saved values","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","10042","Navigate to customers tab and download customers file by button id","chromium","2026-09-18","passed","2026-09-18","Customer Page Tests","05_CustomersPageTests.spec.js","",""
"","54565","Navigate to product fields, remove P1-P4, save and verify removed","chromium","2026-09-18","passed","2026-09-18","Product Custom Fields Tests","10_ProductCustomFieldsTests.spec.js","",""
"","12162","Verify Price Lists for Product100","chromium","2026-09-18","passed","2026-09-18","Product Import Tests","04_ProductPageTests.spec.js","",""
"","28259","Import model stocks then verify product3 and product4 values for customer2","chromium","2026-09-18","passed","2026-09-18","Customer Page Tests","05_CustomersPageTests.spec.js","",""
"","70915","Toggle Account Manager Customers Add/Activate-Deactivate/Export permissions and verify the Customers page reflects them","chromium","2026-09-18","passed","2026-09-18","User Roles Tests","15_UserRolesTests.spec.js","",""
"","50625","Disable enable deals and deal groups, create quote, add product1, and verify deals section not visible","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","31174","Login, open Settings Edit Configuration, set all email fields, and save","chromium","2026-09-18","passed","2026-09-18","Data Prep Tests","01_DataPrep.spec.js","",""
"","16473","Navigate to Forms, open newstandaloneform, change form type back to Standalone form, save and verify form type changed","chromium","2026-09-18","passed","2026-09-18","Forms Page Tests","07_FormsPageTests.spec.js","",""
"","89791","Enable overall discount, create order with customer1, add products 1/2/7, set overall discount to 5, and click Next","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","53645","Enable overall discount, create order with customer1 and product1, and verify overall-discount input exists","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
